"ID","huc2","huc4","huc4_name","Latitude","Longitude","Elevation","Location","River_group","Anomalies","PeriodLength","PeriodID","AccumValue","Indicator","Year","Condition","WYT","meanValue","ratio","Ratio_Diff","Previous_PeriodLength","Whiplash","Flag"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-103.34,3,45,-290.8325075,-102.4824575,1989,"Deficit","C",151.04,-0.678512033236229,-0.0321729839777543,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",239.96,1,54,197.264825702018,197.264825702018,2017,"Surplus","W",151.04,1.30604360237035,1.60182283515559,5,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-98.84,2,45,-188.35005,-97.62305,1988,"Deficit","C",151.04,-0.646339049258475,-0.0456571106991526,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",94.76,1,58,66.012836375,66.012836375,2023,"Surplus","W",151.04,0.437055325576007,1.07852617766817,3,0.437055325576007,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-122.44,1,55,-92.002,-92.002,2018,"Deficit","D",151.04,-0.609123411016949,-1.9151670133873,1,-0.609123411016949,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-82.34,4,53,-300.007524476977,-86.8033021325479,2015,"Deficit","BN",151.04,-0.574704066025873,0.167452631208763,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-124.94,3,53,-213.204222344429,-112.09534755032,2014,"Deficit","C",151.04,-0.742156697234637,-0.48190124391898,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-35.34,2,53,-101.108874794109,-39.3089836687969,2013,"Deficit","BN",151.04,-0.260255453315657,0.148906961444092,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",156.96,4,48,457.010386280445,144.455505,1998,"Surplus","W",151.04,0.956405621027542,0.469139333951271,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-26.04,1,59,-10.062,-10.062,2024,"Deficit","AN",151.04,-0.0666181144067796,-0.503673439982786,1,NA,"Estimated"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-95.54,6,45,-597.507387212812,-94.8048057940625,1992,"Deficit","D",151.04,-0.627680123106876,-0.0275827628463486,5,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",180.26,1,44,142.5325925,142.5325925,1986,"Surplus","W",151.04,0.943674473649364,1.41544387248411,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",78.76,3,48,312.554881280445,73.5967,1997,"Surplus","W",151.04,0.487266287076271,0.193714909957627,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-120.94,1,45,-90.727,-90.727,1987,"Deficit","D",151.04,-0.600681938559322,-1.54435641220869,1,-0.600681938559322,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-37.24,5,53,-344.682019796859,-44.6744953198822,2016,"Deficit","BN",151.04,-0.295779232785237,0.278924833240636,4,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-88.94,3,57,-340.4198075,-96.8877575,2022,"Deficit","C",151.04,-0.641470852092161,0.29818122682733,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-93.84,1,41,-72.1049835684844,-72.1049835684844,1981,"Deficit","BN",151.04,-0.477389986549817,-0.81544685587872,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-88.34,1,43,-71.25605,-71.25605,1985,"Deficit","BN",151.04,-0.471769398834746,-0.640949748411017,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",37.96,2,48,238.958181280445,44.338,1996,"Surplus","W",151.04,0.293551377118644,-0.994982662079218,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-85.24,5,45,-502.70258141875,-90.63870529375,1991,"Deficit","D",151.04,-0.600097360260527,0.202546764640162,4,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",15.86,3,42,470.186252464727,25.553,1984,"Surplus","AN",151.04,0.169180349576271,-1.44574284957627,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-124.54,4,45,-412.063876125,-121.231368625,1990,"Deficit","C",151.04,-0.802644124900688,-0.12413209166446,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",248.86,1,42,200.715252464727,200.715252464727,1982,"Surplus","W",151.04,1.32888805922092,1.80627804577073,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-149.04,2,57,-243.53205,-141.92505,2021,"Deficit","C",151.04,-0.939652078919491,-0.266936242055085,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-81.84,1,53,-61.7998911253125,-61.7998911253125,2012,"Deficit","BN",151.04,-0.409162414759749,-0.751857898282326,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",246.26,1,48,194.620181280445,194.620181280445,1995,"Surplus","W",151.04,1.28853403919786,1.93740492194658,1,1.28853403919786,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",211.86,4,50,275.521049554852,184.222409730837,2006,"Surplus","W",151.04,1.21969286103573,1.03689758689922,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",272.76,2,42,444.633252464727,243.918,1983,"Surplus","W",151.04,1.61492319915254,0.286035139931625,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-133.74,1,57,-101.607,-101.607,2020,"Deficit","C",151.04,-0.672715836864407,-1.07297868114407,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",66.76,1,52,51.76072583125,51.76072583125,2011,"Surplus","W",151.04,0.342695483522577,0.562737599021782,4,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-39.34,1,49,-31.85005,-31.85005,2000,"Deficit","AN",151.04,-0.210871623411017,-0.281005362817797,5,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-69.04,2,51,-160.28305,-71.93605,2008,"Deficit","BN",151.04,-0.476271517478814,0.108653005826271,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-89.04,3,51,-246.7574575,-86.4744075,2009,"Deficit","BN",151.04,-0.572526532706568,-0.0962550152277543,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-121.14,1,47,-98.0054581303664,-98.0054581303664,1994,"Deficit","C",151.04,-0.648870882748718,-0.867953768943704,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",28.96,3,50,91.2986398240157,27.6093982055781,2005,"Surplus","AN",151.04,0.182795274136508,0.0506714126614845,2,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",55.66,1,46,33.0902791308906,33.0902791308906,1993,"Surplus","AN",151.04,0.219082886194986,0.846763009301861,6,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",87.36,1,56,60.4557,60.4557,2019,"Surplus","W",151.04,0.400262844279661,1.00938625529661,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-98.74,2,49,-120.5565575,-88.7065075,2001,"Deficit","D",151.04,-0.58730473715572,-0.376433113744703,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-23.84,4,51,-279.992618625,-33.235161125,2010,"Deficit","AN",151.04,-0.220042115499205,0.352484417207362,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",55.26,1,50,43.73325358125,43.73325358125,2003,"Surplus","W",151.04,0.289547494579251,0.432456499644134,3,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-118.14,1,51,-88.347,-88.347,2007,"Deficit","D",151.04,-0.584924523305085,-1.80461738434082,4,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",15.76,2,50,63.6892416184375,19.9559880371875,2004,"Surplus","AN",151.04,0.132123861475023,-0.157423633104227,1,NA,"Actual"
"APCC1",18,1805,"San Francisco Bay",38.37,-122.3,25,"Napa County in California","Russian Napa",-9.73999999999998,3,49,-142.141533625,-21.584976125,2002,"Deficit","AN",151.04,-0.142909005064883,0.444395732090837,2,NA,"Actual"
